Date,Description,Amount,NewDescription,Type
2024-04-01,"PRESTO FARE/5512K4P7GT TORONTO, ON",4.5,prestofarekpgttorontoon,purchase
2024-04-01,"CINEPLEX REC ROOM ROUN TORONTO, ON",31.64,cineplexrecroomrountorontoon,purchase
2024-04-01,"KELLYS LANDING #6415 TORONTO, ON",38.34,kellyslandingtorontoon,purchase
2024-04-01,"OISHII TEA BRAMPTON, ON",15.42,oishiiteabramptonon,purchase
2024-04-01,"NEWNHAM MAIN TORONTO, ON",8.74,newnhammaintorontoon,purchase
2024-04-01,"ASHBY FIELD CONVENIENCE BRAMPTON, ON",12.31,ashbyfieldconveniencebramptonon,purchase
2024-04-01,"TIM HORTONS #4852 BRAMPTON, ON",15.88,timhortonsbramptonon,purchase
2024-04-01,"TIM HORTONS #4852 BRAMPTON, ON",13.79,timhortonsbramptonon,purchase
2024-04-02,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-04-02,"Arden Holdings Inc Montreal, QC",65.65,ardenholdingsincmontrealqc,purchase
2024-04-02,"SUNSET GRILL RESTAURANT BRAMPTON, ON",24.83,sunsetgrillrestaurantbramptonon,purchase
2024-04-05,"NEWNHAM MAIN TORONTO, ON",6.98,newnhammaintorontoon,purchase
2024-04-05,"NEWNHAM MAIN TORONTO, ON",4.08,newnhammaintorontoon,purchase
2024-04-05,"NEWNHAM MAIN TORONTO, ON",3.14,newnhammaintorontoon,purchase
2024-04-10,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-04-12,"TIM HORTONS #4852 BRAMPTON, ON",19.1,timhortonsbramptonon,purchase
2024-04-15,"NEWNHAM MAIN TORONTO, ON",8.88,newnhammaintorontoon,purchase
2024-04-15,"DOLLARAMA # 795 BRAMPTON, ON",14.13,dollaramabramptonon,purchase
2024-04-15,"TIM HORTONS #3352 BRAMPTON, ON",6.19,timhortonsbramptonon,purchase
2024-04-15,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-04-16,"NEWNHAM MAIN NORTH YORK, ON",14.78,newnhammainnorthyorkon,purchase
2024-04-18,"TIM HORTONS #4852 BRAMPTON, ON",5.63,timhortonsbramptonon,purchase
2024-04-19,"NEWNHAM MAIN TORONTO, ON",2.61,newnhammaintorontoon,purchase
2024-04-19,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-04-22,Spotify P2B899D1D7 Stockholm,6.77,spotifypbddstockholm,purchase
2024-04-22,PAYMENT THANK YOU/PAIEMEN T MERCI,622.0,paymentthankyoupaiementmerci,payment
2024-04-22,"TIM HORTONS #4852 BRAMPTON, ON",4.95,timhortonsbramptonon,purchase
2024-04-22,"ASHBY FIELD CONVENIENCE BRAMPTON, ON",8.24,ashbyfieldconveniencebramptonon,purchase
2024-04-22,"VIRGIN PLUS VERDUN, QC",39.55,virginplusverdunqc,purchase
2024-04-22,"TIM HORTONS #4852 BRAMPTON, ON",20.56,timhortonsbramptonon,purchase
2024-04-22,"NEWNHAM MAIN TORONTO, ON",7.58,newnhammaintorontoon,purchase
2024-04-23,"FORTINOS (BRISDALE 202 BRAMPTON, ON",20.99,fortinosbrisdalebramptonon,purchase
2024-04-24,"MCDONALD S #9488 BRAMPTON, ON",20.66,mcdonaldsbramptonon,purchase
2024-04-24,"DOLLARAMA # 795 BRAMPTON, ON",18.22,dollaramabramptonon,purchase
2024-04-24,"TIM HORTONS #4852 BRAMPTON, ON",11.14,timhortonsbramptonon,purchase
2024-04-24,"BRAMPTON PUBLIC LIBRARY B BRAMPTON, ON",2.2,bramptonpubliclibrarybbramptonon,purchase
2024-04-25,"STARBUCKS COFFEE #1957 BRAMPTON, ON",13.71,starbuckscoffeebramptonon,purchase
2024-04-25,"YOUR DOLLAR STORE WITH MO BRAMPTON, ON",11.3,yourdollarstorewithmobramptonon,purchase
2024-04-25,"MCDONALD'S #40397 BRAMPTON, ON",14.22,mcdonaldsbramptonon,purchase
2024-04-26,"WAL-MART SUPERCENTER#1079 BRAMPTON, ON",20.28,walmartsupercenterbramptonon,purchase
2024-04-26,"PRESTO MOBL TORONTO, ON",20.0,prestomobltorontoon,purchase
2024-04-26,"TIM HORTONS #4852 BRAMPTON, ON",16.01,timhortonsbramptonon,purchase
